Software,Date,Period,Dependency,Description
A-2 system,1953,1950-1959,"UNIVAC computer, assembly language, Remington Rand engineers","Early example of free software, distributed with source code for user modifications."
SHARE Operating System,1955,1950-1959,"IBM 709, General Motors engineers, SHARE user group collaboration",Shared operating system distributed by the SHARE user group.
TeX,1978,1970-1979,"Donald Knuth, METAFONT, Pascal programming language, Stanford University",Typesetting system still widely used.
SPICE,1975,1970-1979,"UC Berkeley, electrical engineering models, Fortran programming language",Simulation software for electronic circuits.
Unix,1970,1970-1979,"AT&T Bell Labs, Ken Thompson & Dennis Ritchie, C programming language, PDP-11 hardware",Distributed freely at first to academic institutions; later commercialized.
GNU Emacs,1985,1980-1989,"Richard Stallman, GNU Project, LISP programming language",Customizable text editor.
GNU Debugger (GDB),1986,1980-1989,"GNU Project, C programming language, POSIX systems",Powerful source-level debugger.
GNU Compiler Collection (GCC),1987,1980-1989,"GNU Project, C compiler backend, Unix-like systems",Compiler suite for various programming languages.
Linux Kernel,1991,1990-1999,"Linus Torvalds, GNU tools, MINIX OS, Intel 80386 architecture",Freely modifiable kernel that became the foundation of many open source OSes.
Debian GNU/Linux,1993,1990-1999,"GNU tools, Linux kernel, community volunteers, Ian Murdock",Linux distribution aligned with GNU/FSF principles.
OpenOffice.org,2000,2000-2009,"StarOffice base code, Sun Microsystems, Java programming language",Open source office suite forked from StarOffice.
X Window System,1984,1980-1989,"MIT, DEC hardware, C programming language, UNIX systems",Standard windowing system for UNIX/Linux desktops.
KDE,1996,1990-1999,"Qt toolkit, C++, Matthias Ettrich, Unix/X11 systems",Desktop environment using Qt toolkit.
GNOME,1997,1990-1999,"GTK+ toolkit, GNU Project, C programming language, Unix/X11 systems",Desktop environment built with GTK+ as alternative to KDE.
Wayland,2008,2000-2009,"Freedesktop.org, Linux kernel, DRM/KMS graphics stack, C programming language",Modern replacement for X Window System.
Mir,2013,2010-2019,"Canonical Ltd., Ubuntu, C++, graphics stack APIs (EGL, Wayland protocol)",Ubuntu’s attempt at replacing X with its own windowing system.
WWIV,1985,1980-1989,"BASIC and later C++, BBS community contributions, MS-DOS",BBS system with source-mod sharing community.
StarOffice,1999,1990-1999,"Java, proprietary office suite codebase, Sun Microsystems","Proprietary office suite, later became OpenOffice.org."
